Id,time
0,1.86
1,2.66
2,0.29
3,1.89
4,1.67
5,0.97
6,0.99
7,1.05
8,2.6
9,1.52
10,3.09
11,5.54
12,1.74
13,4.9
14,0.65
15,1.1
16,2.13
17,2.37
18,2.31
19,3.08
20,0.49
21,1.01
22,0.3
23,1.27
24,0.68
25,1.57
26,3.34
27,0.46
28,2.48
29,0.81
30,2.14
31,1.39
32,0.35
33,0.96
34,3.01
35,0.26
36,1.79
37,0.53
38,2.02
39,1.02
40,2.97
41,1.8
42,3.06
43,2.38
44,0.04
45,0.46
46,2.64
47,1.64
48,1.97
49,0.6
50,1.76
51,2.2
52,0.08
53,2.45
54,3.02
55,0.13
56,3.99
57,1.29
58,0.01
59,2.95
60,1.81
61,3.12
62,2.2
63,4.1
64,3.39
65,3.42
66,1.96
67,1.24
68,3.36
69,2.61
70,0.39
71,1.32
72,2.55
73,0.25
74,2.5
75,1.86
76,1.11
77,1.18
78,2.42
79,1.44
80,4.09
81,2.5
82,3.33
83,0.42
84,0.55
85,2.36
86,1.73
87,0.56
88,2.97
89,1.23
90,2.39
91,1.34
92,1.29
93,1.77
94,1.64
95,2.1
96,2.47
97,0.01
98,0
99,0.24
