Id,time
0,1.32
1,9.68
2,0.41
3,1.52
4,2.56
5,6.82
6,3.37
7,0.54
8,12.16
9,1.01
10,6.05
11,10.3
12,1.11
13,35.29
14,0.28
15,0.57
16,1.46
17,4.03
18,3.64
19,4.02
20,0.3
21,1.18
22,0.66
23,0.7
24,1.45
25,2.94
26,3.06
27,5.1
28,3.7
29,3.36
30,15.69
31,3.88
32,0.58
33,3.65
34,4.91
35,0.72
36,5.38
37,2.16
38,1.7
39,1.65
40,3.38
41,14.03
42,1.55
43,3.09
44,0.66
45,3.23
46,6.22
47,1.36
48,6.32
49,0.57
50,0.68
51,16.13
52,0.17
53,7.5
54,7.18
55,0.3
56,10.68
57,0.69
58,1.38
59,0.82
60,2.56
61,8.36
62,0.66
63,9.21
64,4.76
65,7.23
66,1.4
67,0.74
68,7.52
69,2.83
70,0.5
71,0.76
72,13.33
73,0.3
74,11.88
75,5.13
76,1.26
77,3.91
78,6.79
79,2.04
80,6.69
81,2.88
82,5.67
83,0.83
84,1.15
85,3.73
86,5.24
87,0.7
88,8.28
89,1.52
90,2.61
91,1.01
92,1.45
93,9.42
94,4.53
95,3.27
96,21.31
97,0.17
98,1.01
99,0.18
